target,cohort,feature_set,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2,mean_improvement_vs_test_mean_pct
glucose_gL,all_known,fusion_interpretable,pcr,"n_components=3,alpha=1.0,max_features=48,y_transform=log1p",10,0.75442568,0.37977738,0.36378686,-0.2317042,-9.6556774
glucose_gL,all_known,fusion_interpretable,pcr,"n_components=3,alpha=1.0,max_features=96,y_transform=log1p",10,0.75442568,0.37977738,0.36378686,-0.2317042,-9.6556774
glucose_gL,all_known,eem_full,knn,"k=9,weighted=True,max_features=12,y_transform=log1p",10,0.75449178,0.37824491,0.37035842,-0.11090295,-5.2071807
glucose_gL,all_known,fusion_full,pcr,"n_components=3,alpha=1.0,max_features=24,y_transform=log1p",10,0.75452427,0.37112104,0.36489785,-0.32020993,-12.268483
glucose_gL,all_known,fusion_full,pcr,"n_components=5,alpha=1.0,max_features=24,y_transform=log1p",10,0.75462906,0.36882428,0.36723181,-0.32567226,-12.474078
glucose_gL,all_known,fusion_interpretable,ridge,"alpha=10.0,max_features=24,y_transform=log1p",10,0.75479473,0.3733934,0.36113565,-0.26088541,-10.688358
glucose_gL,all_known,eem_interpretable,pls,"n_components=3,alpha=1.0,max_features=12,y_transform=log1p",10,0.75498782,0.36401555,0.3796381,-0.17176815,-7.4382507
glucose_gL,all_known,eem_interpretable,pls,"n_components=3,alpha=1.0,max_features=24,y_transform=log1p",10,0.75498782,0.36401555,0.3796381,-0.17176815,-7.4382507
glucose_gL,all_known,eem_interpretable,pls,"n_components=3,alpha=1.0,max_features=48,y_transform=log1p",10,0.75498782,0.36401555,0.3796381,-0.17176815,-7.4382507
glucose_gL,all_known,eem_interpretable,pls,"n_components=3,alpha=1.0,max_features=96,y_transform=log1p",10,0.75498782,0.36401555,0.3796381,-0.17176815,-7.4382507
glucose_gL,all_known,eem_interpretable,pcr,"n_components=8,alpha=1.0,max_features=12,y_transform=log1p",10,0.75525077,0.35808008,0.38628126,-0.19355886,-8.2403774
glucose_gL,all_known,eem_interpretable,pcr,"n_components=8,alpha=1.0,max_features=24,y_transform=log1p",10,0.75525077,0.35808008,0.38628126,-0.19355886,-8.2403774
glucose_gL,all_known,eem_interpretable,pcr,"n_components=8,alpha=1.0,max_features=48,y_transform=log1p",10,0.75525077,0.35808008,0.38628126,-0.19355886,-8.2403774
glucose_gL,all_known,eem_interpretable,pcr,"n_components=8,alpha=1.0,max_features=96,y_transform=log1p",10,0.75525077,0.35808008,0.38628126,-0.19355886,-8.2403774
glucose_gL,all_known,raman_full,pls,"n_components=3,alpha=1.0,max_features=384,y_transform=log1p",10,0.75550289,0.38213253,0.35835923,-0.21190195,-8.990451
glucose_gL,all_known,fusion_full,pcr,"n_components=8,alpha=1.0,max_features=192,y_transform=log1p",10,0.7555077,0.35508644,0.36251339,-0.38728736,-14.334855
glucose_gL,all_known,raman_full,pcr,"n_components=2,alpha=1.0,max_features=48,y_transform=log1p",10,0.75559717,0.38957709,0.35800439,-0.17746092,-7.8114471
glucose_gL,all_known,eem_full,pcr,"n_components=12,alpha=1.0,max_features=96,y_transform=log1p",10,0.75565588,0.34581284,0.38403951,-0.24466595,-9.9421173
glucose_gL,all_known,fusion_interpretable,pcr,"n_components=3,alpha=1.0,max_features=24,y_transform=log1p",10,0.75573708,0.3802678,0.36312412,-0.23381367,-9.7982333
glucose_gL,all_known,fusion_full,pls,"n_components=3,alpha=1.0,max_features=192,y_transform=log1p",10,0.75586201,0.34444531,0.36558983,-0.45292977,-16.113363
glucose_gL,all_known,raman_full,pcr,"n_components=3,alpha=1.0,max_features=96,y_transform=log1p",10,0.75587,0.38646907,0.36002641,-0.20516069,-8.6980777
glucose_gL,all_known,fusion_interpretable,pcr,"n_components=2,alpha=1.0,max_features=12,y_transform=log1p",10,0.75605287,0.37985647,0.36471279,-0.24754099,-10.233213
glucose_gL,all_known,fusion_interpretable,ridge,"alpha=10.0,max_features=12,y_transform=log1p",10,0.75605612,0.37139194,0.36359471,-0.28770481,-11.559722
glucose_gL,all_known,eem_full,pcr,"n_components=12,alpha=1.0,max_features=24,y_transform=log1p",10,0.75621241,0.35194113,0.38953336,-0.22753486,-9.3741711
glucose_gL,all_known,eem_full,pcr,"n_components=8,alpha=1.0,max_features=48,y_transform=log1p",10,0.75630305,0.3493479,0.38380017,-0.24361118,-9.8835571
glucose_gL,all_known,raman_interpretable,pls,"n_components=2,alpha=1.0,max_features=12,y_transform=log1p",10,0.75632967,0.39191044,0.35961565,-0.18121542,-7.8924606
glucose_gL,all_known,fusion_interpretable,ridge,"alpha=1.0,max_features=24,y_transform=log1p",10,0.75633267,0.36999527,0.36558967,-0.29134765,-11.686417
glucose_gL,all_known,raman_interpretable,pcr,"n_components=2,alpha=1.0,max_features=24,y_transform=log1p",10,0.75633354,0.38548097,0.36554787,-0.20454452,-8.7824406
glucose_gL,all_known,raman_interpretable,pcr,"n_components=2,alpha=1.0,max_features=48,y_transform=log1p",10,0.75633354,0.38548097,0.36554787,-0.20454452,-8.7824406
glucose_gL,all_known,raman_interpretable,pcr,"n_components=2,alpha=1.0,max_features=96,y_transform=log1p",10,0.75633354,0.38548097,0.36554787,-0.20454452,-8.7824406
glucose_gL,all_known,fusion_interpretable,pcr,"n_components=8,alpha=1.0,max_features=24,y_transform=log1p",10,0.75636395,0.37090441,0.35982551,-0.28036073,-11.403465
glucose_gL,all_known,fusion_full,pcr,"n_components=2,alpha=1.0,max_features=12,y_transform=log1p",10,0.75639964,0.36805573,0.36679636,-0.32438428,-12.637285
glucose_gL,all_known,raman_full,pcr,"n_components=2,alpha=1.0,max_features=96,y_transform=log1p",10,0.75658021,0.39052326,0.35917542,-0.18216293,-8.0221986
glucose_gL,all_known,raman_interpretable,pcr,"n_components=2,alpha=1.0,max_features=12,y_transform=log1p",10,0.756688,0.38868866,0.3615587,-0.19376436,-8.3874096
glucose_gL,all_known,eem_interpretable,ridge,"alpha=1.0,max_features=12,y_transform=log1p",10,0.75677917,0.35646602,0.38848824,-0.20373729,-8.6838235
glucose_gL,all_known,eem_interpretable,pcr,"n_components=12,alpha=1.0,max_features=12,y_transform=log1p",10,0.75677917,0.35646602,0.38848824,-0.20373729,-8.6838235
glucose_gL,all_known,eem_interpretable,ridge,"alpha=1.0,max_features=24,y_transform=log1p",10,0.75677917,0.35646602,0.38848824,-0.20373729,-8.6838235
glucose_gL,all_known,eem_interpretable,pcr,"n_components=12,alpha=1.0,max_features=24,y_transform=log1p",10,0.75677917,0.35646602,0.38848824,-0.20373729,-8.6838235
glucose_gL,all_known,eem_interpretable,ridge,"alpha=1.0,max_features=48,y_transform=log1p",10,0.75677917,0.35646602,0.38848824,-0.20373729,-8.6838235
glucose_gL,all_known,eem_interpretable,pcr,"n_components=12,alpha=1.0,max_features=48,y_transform=log1p",10,0.75677917,0.35646602,0.38848824,-0.20373729,-8.6838235
glucose_gL,all_known,eem_interpretable,ridge,"alpha=1.0,max_features=96,y_transform=log1p",10,0.75677917,0.35646602,0.38848824,-0.20373729,-8.6838235
glucose_gL,all_known,eem_interpretable,pcr,"n_components=12,alpha=1.0,max_features=96,y_transform=log1p",10,0.75677917,0.35646602,0.38848824,-0.20373729,-8.6838235
