target,cohort,feature_set,model,config,seed,n_rows,n_train,n_test,n_features_raw,n_features_after_variance,n_features_selected,rmse,mae,r2,test_mean_rmse,improvement_vs_test_mean_pct
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=10.0,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,2.2636150374400352,0.7306315383547052,-12.000532499910538,0.6278009950097084,-260.56251191590263
rhamnose_gL,all_known,raman_interpretable,knn,"k=1,weighted=True,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,0.7200561929826252,0.3588157894736842,-0.31549372429874856,0.6278009950097084,-14.694974793961606
rhamnose_gL,all_known,raman_interpretable,knn,"k=3,weighted=True,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,0.7400478727789093,0.4218715343948436,-0.389554643518383,0.6278009950097084,-17.87937239052401
rhamnose_gL,all_known,raman_interpretable,knn,"k=5,weighted=True,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,0.6903314173756934,0.41399840448595837,-0.2091252157857859,0.6278009950097084,-9.960229891801616
rhamnose_gL,all_known,raman_interpretable,knn,"k=9,weighted=True,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,0.7005028896478073,0.44737063970236884,-0.2450186666995524,0.6278009950097084,-11.580404493779843
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=2,alpha=1.0,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,0.6492505800904856,0.4048870359926431,-0.06949976455692264,0.6278009950097084,-3.416621708356087
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=2,alpha=1.0,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,0.7898108046967985,0.4698329243209153,-0.5827128992268178,0.6278009950097084,-25.80591795407791
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=3,alpha=1.0,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,0.678492781925368,0.4260611598367495,-0.16800973978511013,0.6278009950097084,-8.074499294935915
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=3,alpha=1.0,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,1.4935097110305449,0.6014188634132144,-4.659422306517659,0.6278009950097084,-137.89540362347608
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=5,alpha=1.0,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,0.6653979493700872,0.4216922999350818,-0.12335989960358207,0.6278009950097084,-5.988673904506538
