target,cohort,feature_set,model,config,seed,rmse,mae,r2,improvement_vs_test_mean_pct
rhamnose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",3,0.5165045318377351,0.2986519687687121,-0.03156495508187995,-1.5659861903521248
rhamnose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",4,0.3237138115691232,0.258568410078839,-1.3700712398125563,-53.95035692756791
rhamnose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",4,0.9022256299185076,0.3918481057227284,-17.41065593082939,-329.0764026467709
rhamnose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",4,0.2739933836969448,0.22210402572677604,-0.697927307036529,-30.304539715104656
rhamnose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",4,0.6348148246716148,0.2105159648065183,-8.114504460529526,-201.90237595172263
rhamnose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",4,0.3866079696325547,0.2661328602170474,-2.3804969337215454,-83.8612774273459
xylose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",0,1.376884478591503,0.6173841661832441,-31.12634236308476,-466.8010441335192
xylose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",0,2.1474063021394865,0.8011433226920447,-77.14383509189233,-783.9900174317148
xylose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",0,0.3546362999206886,0.21611746462065579,-1.1312414252905696,-45.98771952772498
xylose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",0,0.6272052265595054,0.23639231041900452,-5.666311636604686,-158.19201452803856
xylose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",0,0.5949419206603355,0.393186738885673,-4.998123687203596,-144.91067120898583
xylose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",1,1.0804626667743207,0.5313404627297226,-3.7732913297373463,-118.4786335030807
xylose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",1,1.401666156924331,0.6209168628415146,-7.033181620543129,-183.42867922183052
xylose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",1,0.5286341599421308,0.2947704558228658,-0.14263851290210816,-6.89427079605849
xylose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",1,0.6641741811233578,0.31092186866652083,-0.80369204118541,-34.30160241729844
xylose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",1,0.6341366906233178,0.3891451078935394,-0.6442360831319642,-28.22776934548788
xylose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",2,0.4307815231953816,0.34939778273598077,-1.0115821273289924,-41.830255140748896
xylose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",2,0.37867770613407364,0.30893059211049423,-0.5544011488979022,-24.675625079560053
xylose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",2,0.2815754337267879,0.1757407463635142,0.14056476129015405,7.294269933846803
xylose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",2,0.3092665097820085,0.16640872380252592,-0.03678670510418258,-1.8227236477291773
xylose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",2,0.6108156212245164,0.37239719998942955,-3.0443050330710166,-101.10457560858771
xylose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",3,0.813429792454527,0.3801890612826757,-10.360835223917073,-237.05838105463383
xylose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",3,0.8441100077542119,0.3655702147538581,-11.23399250489519,-249.77124674414262
xylose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",3,0.27813052384350406,0.21553220840273973,-0.32821205935478637,-15.248082819402503
xylose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",3,0.5758415273242,0.25243282070480333,-4.693457379509509,-138.60966827665445
xylose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",3,0.5535075411017656,0.35119999380888683,-4.26038094424084,-129.35520365234441
xylose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",4,0.7953013014303075,0.35924275068874745,0.10561797091107239,5.42822677516682
