feature_strategy,model_category,model,config,split,n_samples,n_train,n_test,n_features_raw,n_features_selected,rmse,mae,r2,status
Raman interpretable,Chemometrics,PCR + Ridge,n_components=5,3,150,112,38,27,27,0.5215145485547361,0.3451273704955693,-0.11736320581083803,ok
Raman interpretable,ML,SVR linear,"C=1,epsilon=0.05",3,150,112,38,27,27,0.516309581894411,0.24012163123024083,-0.09517085925092283,ok
Raman interpretable,ML,SVR RBF,"C=10,epsilon=0.05",3,150,112,38,27,27,0.4822151136194172,0.23562023177135583,0.04469259229787692,ok
Raman interpretable,ML,Weighted kNN,"k=3,distance",3,150,112,38,27,27,0.43998729886093174,0.2512526429243116,0.20468020988287194,ok
Raman interpretable,ML,Kernel ridge,"rbf,alpha=0.1",3,150,112,38,27,27,0.41140567487324203,0.24112639486179896,0.30465223111071404,ok
Raman interpretable,ML,Random forest,"n=250,max_depth=4",3,150,112,38,27,27,0.4570640420183972,0.29919545671969133,0.14174642436757257,ok
Raman interpretable,ML,Extra trees,"n=250,max_depth=4",3,150,112,38,27,27,0.46858097498153506,0.3039206582165943,0.09794958040620128,ok
Raman interpretable,DL,ANN MLP,"hidden=(32,16),early_stop",3,150,112,38,27,27,0.579759173223988,0.3127769344219395,-0.3808826324307435,ok
Raman interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",3,150,112,38,27,27,0.4009732755918277,0.2723442833343717,0.3394702752844734,ok
Raman interpretable,Statistics,Mean baseline,mean,4,150,112,38,27,12,0.6361597912537823,0.3728477443609023,-0.06059506628269573,ok
Raman interpretable,Statistics,Linear regression,ols,4,150,112,38,27,27,0.6746942559931584,0.44703029916047876,-0.19297459812433693,ok
Raman interpretable,Statistics,Ridge,alpha=10,4,150,112,38,27,27,0.642710429221915,0.36633374041720507,-0.0825497529562953,ok
Raman interpretable,Statistics,Lasso,alpha=0.001,4,150,112,38,27,27,0.6438180862106515,0.3791024487181084,-0.08628433392231916,ok
Raman interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",4,150,112,38,27,27,0.6430809740997195,0.3831529852284448,-0.0837983678264167,ok
Raman interpretable,Chemometrics,PLSR,n_components=2,4,150,112,38,27,27,0.6380008442866979,0.3713734286441506,-0.06674269532088872,ok
Raman interpretable,Chemometrics,PLSR,n_components=5,4,150,112,38,27,27,0.6503720842657381,0.37077181822848504,-0.10851341838024764,ok
Raman interpretable,Chemometrics,PCR + Ridge,n_components=5,4,150,112,38,27,27,0.6353696019641614,0.37053377819817357,-0.057961921655868,ok
Raman interpretable,ML,SVR linear,"C=1,epsilon=0.05",4,150,112,38,27,27,0.67622846229759,0.33259153288739773,-0.19840624389135453,ok
Raman interpretable,ML,SVR RBF,"C=10,epsilon=0.05",4,150,112,38,27,27,0.6592145396653927,0.3401212266547881,-0.1388610133580035,ok
Raman interpretable,ML,Weighted kNN,"k=3,distance",4,150,112,38,27,27,0.6624985713156767,0.37488218531206996,-0.15023628307404335,ok
Raman interpretable,ML,Kernel ridge,"rbf,alpha=0.1",4,150,112,38,27,27,0.6157227604023364,0.3678091950766303,0.006454899062662611,ok
Raman interpretable,ML,Random forest,"n=250,max_depth=4",4,150,112,38,27,27,0.6324145699632281,0.3654796856022857,-0.048143884202416,ok
Raman interpretable,ML,Extra trees,"n=250,max_depth=4",4,150,112,38,27,27,0.6087814045067589,0.3523724937723886,0.028730106106859332,ok
Raman interpretable,DL,ANN MLP,"hidden=(32,16),early_stop",4,150,112,38,27,27,0.6512457936798776,0.34853548226863307,-0.11149377127793492,ok
Raman interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",4,150,112,38,27,27,0.5643706734213596,0.33660783059600935,0.16526995173465953,ok
EEM + Raman interpretable,Statistics,Mean baseline,mean,0,150,112,38,43,12,0.29512906650488685,0.2696804511278195,-0.5862115380801094,ok
EEM + Raman interpretable,Statistics,Linear regression,ols,0,150,112,38,43,43,0.46008449246091104,0.38019172539647694,-2.8548929903587825,ok
EEM + Raman interpretable,Statistics,Ridge,alpha=10,0,150,112,38,43,43,0.377460390204661,0.33369290748451175,-1.5946567061289998,ok
EEM + Raman interpretable,Statistics,Lasso,alpha=0.001,0,150,112,38,43,43,0.4349196919853254,0.35736120124508447,-2.444730734107899,ok
EEM + Raman interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",0,150,112,38,43,43,0.4368870763791898,0.3497330972310325,-2.475966099790279,ok
EEM + Raman interpretable,Chemometrics,PLSR,n_components=2,0,150,112,38,43,43,0.3254501088977784,0.2863226967662957,-0.9288834138698581,ok
EEM + Raman interpretable,Chemometrics,PLSR,n_components=5,0,150,112,38,43,43,0.4210520087100451,0.34680121738874536,-2.228558228096108,ok
EEM + Raman interpretable,Chemometrics,PCR + Ridge,n_components=5,0,150,112,38,43,43,0.31464143997124056,0.28522999872159144,-0.8028889554785146,ok
EEM + Raman interpretable,ML,SVR linear,"C=1,epsilon=0.05",0,150,112,38,43,43,0.248145095529967,0.15372172643581186,-0.12136895436933237,ok
EEM + Raman interpretable,ML,SVR RBF,"C=10,epsilon=0.05",0,150,112,38,43,43,0.289201002276065,0.2186401441830884,-0.5231291288011504,ok
EEM + Raman interpretable,ML,Weighted kNN,"k=3,distance",0,150,112,38,43,43,0.31798922769590937,0.17274226477256374,-0.8414585692569783,ok
