feature_strategy,model_category,model,config,n_splits,n_samples,n_features_raw,n_features_selected,mean_rmse,std_rmse,mean_mae,mean_r2
EEM unfolded full,ML,Kernel ridge,"rbf,alpha=0.1",5,148,174,174,0.40545884056298453,0.11057597471154444,0.2481063980305537,0.018494123893126546
EEM full + processed Raman,ML,XGBoost,"n=250,depth=2,eta=0.05",5,150,349,192,0.40758223089641865,0.11123989262873507,0.27220099691326094,-0.09719387469882175
EEM PARAFAC scores,ML,Extra trees,"n=250,max_depth=4",5,148,6,6,0.4082862025014894,0.0946047329521223,0.29813673053566697,-0.01620493464345485
EEM full + PARAFAC,ML,SVR RBF,"C=10,epsilon=0.05",5,148,180,180,0.40868955920440253,0.08619314512921421,0.2642507007433666,-0.05558250937570049
EEM + Raman full,ML,XGBoost,"n=250,depth=2,eta=0.05",5,150,1675,192,0.4090022352338467,0.12029931006346113,0.2775704366675897,-0.1020655009605174
Raman interpretable,ML,Kernel ridge,"rbf,alpha=0.1",5,150,27,27,0.409798262641195,0.13269706335668388,0.2632525599391068,-0.016169425995871612
EEM unfolded full,ML,Weighted kNN,"k=3,distance",5,148,174,96,0.4100468185769902,0.04575789300271253,0.2673099094685439,-0.14921465604646597
EEM unfolded full,ML,SVR RBF,"C=10,epsilon=0.05",5,148,174,174,0.41015337118468265,0.08828467996353828,0.26720768383859783,-0.06209979126759042
EEM interpretable + PARAFAC,Statistics,Ridge,alpha=10,5,148,22,22,0.4104349425889291,0.12070364283197713,0.29655838147124725,-0.05418680525110542
EEM + Raman interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",5,150,43,43,0.41087151373671327,0.15160566586726604,0.26635847163673393,-0.01486501020923825
